movieid,title,cluster
2463,Ruthless People,2
2465,Deadly Friend,12
2467,"Name of the Rose, The (Name der Rose, Der)",219
2468,Jumpin' Jack Flash,83
2469,Peggy Sue Got Married,10
2470,Crocodile Dundee,85
2471,Crocodile Dundee II,41
2472,Tough Guys,2
2473,Soul Man,2
2474,"Color of Money, The",1
2475,52 Pick-Up,46
2476,Heartbreak Ridge,37
2477,Firewalker,205
2478,¡Three Amigos!,2
2481,My Name Is Joe,9
2482,Still Crazy,4
2483,"Day of the Beast, The (Día de la Bestia, El)",204
2485,She's All That,4
2488,Peeping Tom,277
2490,Payback,46
2491,Simply Irresistible,4
2492,20 Dates,4
2493,"Harmonists, The",1
2494,"Last Days, The",22
2495,"Fantastic Planet, The (Planète sauvage, La)",180
2496,Blast from the Past,4
2497,Message in a Bottle,107
2498,My Favorite Martian,53
2500,Jawbreaker,2
2501,October Sky,1
2502,Office Space,25
2503,"Apple, The (Sib)",1
2504,200 Cigarettes,10
2505,8MM,196
2506,"Other Sister, The",11
2511,"Long Goodbye, The",31
2512,"Ballad of Narayama, The (Narayama bushiko)",1
2513,Pet Sematary,12
2514,Pet Sematary II,58
2515,Children of the Corn II: The Final Sacrifice,12
2516,Children of the Corn III,12
2517,Christine,12
2518,Night Shift,2
2520,Airport,1
2521,Airport 1975,40
2522,Airport '77,1
2523,Rollercoaster,19
2524,"Towering Inferno, The",99
2525,Alligator,62
2526,Meteor,48
2527,Westworld,29
2528,Logan's Run,5
2529,Planet of the Apes,104
2530,Beneath the Planet of the Apes,34
2531,Battle for the Planet of the Apes,34
2532,Conquest of the Planet of the Apes,34
2533,Escape from the Planet of the Apes,34
2534,Avalanche,37
2535,Earthquake,40
2537,Beyond the Poseidon Adventure,205
2538,Dancemaker,22
2539,Analyze This,2
2540,"Corruptor, The",36
2541,Cruel Intentions,1
2542,"Lock, Stock & Two Smoking Barrels",81
2544,"School of Flesh, The (École de la chair, L')",9
2546,"Deep End of the Ocean, The",1
2548,"Rage: Carrie 2, The",12
2549,Wing Commander,34
2550,"Haunting, The",16
2551,Dead Ringers,277
2552,My Boyfriend's Back,2
2553,Village of the Damned,35
2554,Children of the Damned,35
2555,Baby Geniuses,2
2557,I Stand Alone (Seul contre tous),19
2558,Forces of Nature,4
2559,"King and I, The",50
2560,Ravenous,16
2561,True Crime,6
2563,Dangerous Beauty,1
2565,"King and I, The",9
2566,Doug's 1st Movie,50
2567,EDtv,2
2568,"Mod Squad, The",57
2570,"Walk on the Moon, A",9
2571,"Matrix, The",29
2572,10 Things I Hate About You,4
2573,Tango,299
2574,"Out-of-Towners, The",2
2575,"Dreamlife of Angels, The (Vie rêvée des anges, La)",1
2577,Metroland,10
2579,Following,217
2580,Go,25
2581,Never Been Kissed,4
2582,Twin Dragons (Shuang long hui),7
2583,Cookie's Fortune,10
2585,"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar)",9
2586,Goodbye Lover,81
2587,Life,51
2589,Friends & Lovers,11
2590,Hideous Kinky,1
2593,"Monster, The (Mostro, Il)",2
2594,Open Your Eyes (Abre los ojos),272
2596,SLC Punk!,10
2597,Lost & Found,4
2598,Pushing Tin,2
2599,Election,2
2600,eXistenZ,29
2605,Entrapment,6
2606,Idle Hands,58
2607,Get Real,9
2609,"King of Masks, The (Bian Lian)",1
2611,"Winslow Boy, The",1
2612,Mildred Pierce,1
2613,Night of the Comet,68
2614,Chopping Mall (a.k.a. Killbots),62
2615,My Science Project,52
2616,Dick Tracy,57
2617,"Mummy, The",200
2618,"Castle, The",2
2620,This Is My Father,9
2622,William Shakespeare's A Midsummer Night's Dream,102
2623,Trippin',2
2624,After Life (Wandafuru raifu),112
2625,Black Mask (Hak hap),90
2628,Star Wars: Episode I - The Phantom Menace,5
2629,"Love Letter, The",4
2630,Besieged (a.k.a. L' Assedio),1
2632,"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie)",84
2633,"Mummy, The",230
2634,"Mummy, The",12
2639,Mommie Dearest,1
2640,Superman,5
2641,Superman II,34
2642,Superman III,5
2643,Superman IV: The Quest for Peace,5
2644,Dracula,12
2648,Frankenstein,132
2651,Frankenstein Meets the Wolf Man,12
2652,"Curse of Frankenstein, The",12
2654,"Wolf Man, The",258
2655,Howling II: Your Sister Is a Werewolf,12
2656,Tarantula,24
2657,"Rocky Horror Picture Show, The",68
2659,It Came from Hollywood,167
2660,"Thing from Another World, The",24
2661,It Came from Outer Space,48
2662,"War of the Worlds, The",104
2664,Invasion of the Body Snatchers,35
2665,Earth vs. the Flying Saucers,48
2668,Swamp Thing,24
2669,Pork Chop Hill,77
2670,Run Silent Run Deep,77
2671,Notting Hill,4
2672,"Thirteenth Floor, The",65
2674,"Loss of Sexual Innocence, The",112
2676,Instinct,19
2677,Buena Vista Social Club,22
2681,Free Enterprise,116
2682,Limbo,1
2683,Austin Powers: The Spy Who Shagged Me,41
2686,"Red Violin, The (Violon rouge, Le)",177
2687,Tarzan,273
2688,"General's Daughter, The",219
2690,"Ideal Husband, An",4
2691,"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano)",1
2692,Run Lola Run (Lola rennt),57
2693,Trekkies,22
2694,Big Daddy,2
2695,"Boys, The",1
2696,"Dinner Game, The (Dîner de cons, Le)",2
2697,My Son the Fanatic,11
2698,Zone 39,48
2699,Arachnophobia,58
2700,"South Park: Bigger, Longer and Uncut",49
2701,Wild Wild West,54
2702,Summer of Sam,1
2706,American Pie,4
2707,Arlington Road,43
2708,"Autumn Tale, An (Conte d'automne)",107
2709,Muppets From Space,49
2710,"Blair Witch Project, The",277
2712,Eyes Wide Shut,196
2713,Lake Placid,16
2716,Ghostbusters (a.k.a. Ghost Busters),54
2717,Ghostbusters II,228
2718,Drop Dead Gorgeous,2
2719,"Haunting, The",16
2720,Inspector Gadget,194
2722,Deep Blue Sea,55
2723,Mystery Men,117
2724,Runaway Bride,4
2725,Twin Falls Idaho,1
2726,"Killing, The",31
2727,Killer's Kiss,31
2728,Spartacus,109
2729,Lolita,9
2730,Barry Lyndon,9
2731,"400 Blows, The (Les quatre cents coups)",14
2732,Jules and Jim (Jules et Jim),9
2733,Vibes,92
2734,"Mosquito Coast, The",110
2735,"Golden Child, The",145
2736,Brighton Beach Memoirs,2
2737,Assassination,40
2738,Crimes of the Heart,10
2739,"Color Purple, The",1
2740,"Kindred, The",24
2741,No Mercy,20
2742,Ménage (Tenue de soirée),10
2743,Native Son,1
2744,Otello,1
2745,"Mission, The",1
2746,Little Shop of Horrors,58
2747,"Little Shop of Horrors, The",58
2748,Allan Quatermain and the Lost City of Gold,41
2749,"Morning After, The",177
2750,Radio Days,10
2751,From the Hip,10
2752,Outrageous Fortune,2
2754,Deadtime Stories,12
2757,Frances,1
2759,Dick,2
2761,"Iron Giant, The",264
2762,"Sixth Sense, The",59
2763,"Thomas Crown Affair, The",37
2764,"Thomas Crown Affair, The",61
2765,"Acid House, The",10
2766,"Adventures of Sebastian Cole, The",10
2769,"Yards, The",14
2770,Bowfinger,2
2771,Brokedown Palace,1
2772,Detroit Rock City,2
2774,Better Than Chocolate,4
2775,Head On,1
2779,Heaven Can Wait,2
2782,Pit and the Pendulum,12
2784,"Masque of the Red Death, The",12
2786,Haunted Honeymoon,2
2787,Cat's Eye,12
2788,Monty Python's And Now for Something Completely Different,2
2789,Damien: Omen II,12
2790,"Final Conflict, The (a.k.a. Omen III: The Final Conflict)",16
2791,Airplane!,2
2792,Airplane II: The Sequel,2
2793,"American Werewolf in Paris, An",294
2794,European Vacation (aka National Lampoon's European Vacation),92
2795,National Lampoon's Vacation,2
2796,Funny Farm,2
2797,Big,123
2798,Problem Child,49
2799,Problem Child 2,2
2800,Little Nemo: Adventures in Slumberland,131
2801,Oscar and Lucinda (a.k.a. Oscar & Lucinda),9
2802,Tequila Sunrise,184
2803,"Pelican Brief, The",61
2804,"Christmas Story, A",49
2805,Mickey Blue Eyes,4
2806,Teaching Mrs. Tingle,60
2807,Universal Soldier: The Return,34
2808,Universal Soldier,34
2810,Perfect Blue,207
2812,In Too Deep,46
2813,"Source, The",22
2815,Iron Eagle,37
2816,Iron Eagle II,37
2817,Aces: Iron Eagle III,37
2818,Iron Eagle IV,37
2819,Three Days of the Condor (3 Days of the Condor),64
2820,Hamlet,1
2822,Medicine Man,173
2824,On the Ropes,243
2826,"13th Warrior, The",73
2827,"Astronaut's Wife, The",35
2828,Dudley Do-Right,49
2829,"Muse, The",2
2835,Chill Factor,185
2836,Outside Providence,2
2837,Bedrooms & Hallways,4
2839,West Beirut (West Beyrouth),1
2840,Stigmata,19
2841,Stir of Echoes,156
2843,"Black Cat, White Cat (Crna macka, beli macor)",4
2844,"Minus Man, The",177
2846,"Adventures of Milo and Otis, The (Koneko monogatari)",101
2847,Only Angels Have Wings,97
2848,"Othello (Tragedy of Othello: The Moor of Venice, The)",1
2851,Saturn 3,127
2852,"Soldier's Story, A",1
2856,I Saw What You Did,43
2857,Yellow Submarine,142
2858,American Beauty,9
2859,Stop Making Sense,22
2860,Blue Streak,2
2861,For Love of the Game,10
2862,Caligula,1
2863,"Hard Day's Night, A",85
2865,Sugar Town,2
2866,"Buddy Holly Story, The",1
2867,Fright Night,69
2868,Fright Night Part II,12
2870,Barefoot in the Park,2
2871,Deliverance,110
2872,Excalibur,155
2874,"Pajama Game, The",4
2875,Sommersby,9
2876,Thumbelina,135
2877,Tommy,77
2878,Hell Night,12
2879,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak),41
2880,Armour of God (Long xiong hu di),41
2881,Double Jeopardy,36
2882,Jakob the Liar,1
2883,Mumford,10
2884,Dog Park,4
2885,Guinevere,9
2886,"Adventures of Elmo in Grouchland, The",49
2887,Simon Sez,7
2888,Drive Me Crazy,4
2889,"Mystery, Alaska",10
2890,Three Kings,175
2891,"Happy, Texas",2
2892,New Rose Hotel,13
2893,Plunkett & MaCleane,42
2894,Romance,9
2896,Alvarez Kelly,77
2897,And the Ship Sails On (E la nave va),2
2898,"Dark Half, The",12
2899,Gulliver's Travels,164
2900,Monkey Shines,24
2901,Phantasm,24
2902,Psycho II,156
2903,Psycho III,16
2905,Sanjuro (Tsubaki Sanjûrô),42
2906,Random Hearts,9
2907,Superstar,2
2908,Boys Don't Cry,1
2912,"Limey, The",23
2915,Risky Business,2
2916,Total Recall,33
2917,Body Heat,6
2918,Ferris Bueller's Day Off,2
2919,"Year of Living Dangerously, The",9
2921,High Plains Drifter,77
2922,Hang 'Em High,14
2924,Drunken Master (Jui kuen),7
2925,"Conformist, The (Conformista, Il)",1
2926,Hairspray,10
2927,Brief Encounter,9
2928,"Razor's Edge, The",1
2929,Reds,9
2930,Return with Honor,22
2931,Time of the Gypsies (Dom za vesanje),51
2932,Days of Heaven,1
2935,"Lady Eve, The",4
2936,Sullivan's Travels,92
2937,"Palm Beach Story, The",2
2939,Niagara,19
2940,Gilda,9
2941,South Pacific,107
2942,Flashdance,9
2943,Indochine,9
2944,"Dirty Dozen, The",222
2946,Help!,2
2947,Goldfinger,38
2948,From Russia with Love,38
2949,Dr. No,38
2950,"Blue Lagoon, The",97
2951,"Fistful of Dollars, A (Per un pugno di dollari)",37
2952,Sydney (Hard Eight),23
2953,Home Alone 2: Lost in New York,49
2956,Someone to Watch Over Me,20
2959,Fight Club,36
2961,"Story of Us, The",10
2962,Fever Pitch,4
2964,Julien Donkey-Boy,1
2965,"Omega Code, The",37
2966,"Straight Story, The",84
2967,"Bad Seed, The",19
2968,Time Bandits,66
2969,"Man and a Woman, A (Un homme et une femme)",9
2970,Fitzcarraldo,84
2971,All That Jazz,112
2972,Red Sorghum (Hong gao liang),148
2973,Crimes and Misdemeanors,51
2974,Bats,16
2975,"Best Man, The",10
2976,Bringing Out the Dead,1
2977,Crazy in Alabama,10
2978,Three to Tango,4
2979,Body Shots,1
2982,"Guardian, The",16
2983,"Ipcress File, The",43
2984,On Any Sunday,22
2985,RoboCop,238
2986,RoboCop 2,134
2987,Who Framed Roger Rabbit?,280
2988,Melvin and Howard,1
2989,For Your Eyes Only,38
2990,Licence to Kill,38
2991,Live and Let Die,38
2992,Rawhead Rex,16
2993,Thunderball,38
2995,House on Haunted Hill,16
2996,Music of the Heart,1
2997,Being John Malkovich,159
3000,Princess Mononoke (Mononoke-hime),118
3002,My Best Fiend (Mein liebster Feind),22
3003,Train of Life (Train de vie),11
3004,"Bachelor, The",4
3005,"Bone Collector, The",43
3006,"Insider, The",19
3007,American Movie,22
3008,Last Night,30
3010,Rosetta,1
3011,"They Shoot Horses, Don't They?",1
3013,Bride of Re-Animator,58
3014,Bustin' Loose,2
3015,Coma,43
3016,Creepshow,12
3017,Creepshow 2,12
3018,Re-Animator,68
3019,Drugstore Cowboy,14
3020,Falling Down,13
3021,"Funhouse, The",12
3022,"General, The",2
3024,Piranha,24
3028,"Taming of the Shrew, The",2
3029,Nighthawks,13
3030,Yojimbo,70
3031,Repossessed,2
3032,"Omega Man, The",80
3033,Spaceballs,53
3034,Robin Hood,8
3035,Mister Roberts,10
3036,"Quest for Fire (Guerre du feu, La)",84
3037,Little Big Man,77
3038,"Face in the Crowd, A",1
3039,Trading Places,2
3040,Meatballs,2
3041,Meatballs Part II,2
3042,Meatballs III,2
3043,Meatballs 4,2
3044,Dead Again,163
3045,Peter's Friends,10
3046,"Incredibly True Adventure of Two Girls in Love, The",4
3048,Under the Rainbow,2
3051,Anywhere But Here,10
3052,Dogma,26
3053,"Messenger: The Story of Joan of Arc, The",148
3054,Pokémon: The First Movie,165
3055,Felicia's Journey,43
3056,Oxygen,23
3057,Where's Marlowe?,2
3060,"Commitments, The",10
3061,Holiday Inn,2
3062,"Longest Day, The",222
3063,Poison Ivy,19
3064,Poison Ivy: New Seduction,19
3066,Tora! Tora! Tora!,222
3067,Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios),10
3068,"Verdict, The",177
3070,"Adventures of Buckaroo Banzai Across the 8th Dimension, The",66
3071,Stand and Deliver,10
3072,Moonstruck,4
3073,"Sandpiper, The",9
3074,Jeremiah Johnson,77
3075,Repulsion,59
3076,Irma la Douce,2
3077,42 Up,22
3078,Liberty Heights,1
3079,Mansfield Park,11
3081,Sleepy Hollow,230
3082,"World Is Not Enough, The",38
3083,All About My Mother (Todo sobre mi madre),1
3086,Babes in Toyland,240
3087,Scrooged,162
3088,Harvey,102
3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette),1
3090,Matewan,1
3091,Kagemusha,148
3093,McCabe & Mrs. Miller,1
3094,Maurice,9
3095,"Grapes of Wrath, The",1
3096,My Man Godfrey,2
3097,"Shop Around the Corner, The",11
3098,"Natural, The",1
3099,Shampoo,11
3100,"River Runs Through It, A",1
3101,Fatal Attraction,19
3102,Jagged Edge,171
3103,Stanley & Iris,9
3104,Midnight Run,72
3105,Awakenings,177
3106,Come See the Paradise,9
3107,Backdraft,13
3108,"Fisher King, The",123
3109,"River, The",1
3111,Places in the Heart,1
3112,'night Mother,1
3113,End of Days,67
3114,Toy Story 2,119
3115,Flawless,1
3117,Ride with the Devil,9
3120,"Distinguished Gentleman, The",2
3125,"End of the Affair, The",1
3127,Holy Smoke,10
3129,Sweet and Lowdown,10
3130,Bonfire of the Vanities,51
3132,Daddy Long Legs,10
3134,Grand Illusion (La grande illusion),148
3135,"Great Santini, The",1
3138,Stealing Home,1
3141,"Two Jakes, The",1
3142,U2: Rattle and Hum,22
3143,Hell in the Pacific,148
3145,Cradle Will Rock,1
3146,Deuce Bigalow: Male Gigolo,2
3147,"Green Mile, The",14
3148,"Cider House Rules, The",1
3150,"War Zone, The",19
3152,"Last Picture Show, The",1
3153,"7th Voyage of Sinbad, The",73
3155,Anna and the King,9
3156,Bicentennial Man,74
3157,Stuart Little,240
3158,"Emperor and the Assassin, The (Jing ke ci qin wang)",1
3159,Fantasia 2000,50
3160,Magnolia,1
3161,Onegin,9
3162,Simpatico,10
3163,Topsy-Turvy,10
3165,Boiling Point,13
3167,Carnal Knowledge,10
3168,Easy Rider,84
3169,The Falcon and the Snowman,23
3171,Room at the Top,1
3173,Any Given Sunday,1
3174,Man on the Moon,10
3175,Galaxy Quest,66
3176,"Talented Mr. Ripley, The",196
3177,Next Friday,2
3178,"Hurricane, The",1
3179,Angela's Ashes,1
3181,Titus,1
3182,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",22
3183,"Third Miracle, The",1
3185,Snow Falling on Cedars,1
3186,"Girl, Interrupted",1
3189,My Dog Skip,56
3190,Supernova,127
3192,"Terrorist, The (a.k.a. Malli) (Theeviravaathi)",1
3194,"Way We Were, The",9
3196,Stalag 17,148
3197,"Presidio, The",186
3198,Papillon,14
3200,"Last Detail, The",10
3201,Five Easy Pieces,1
3203,Dead Calm,43
3204,"Boys from Brazil, The",46
3206,Against All Odds,107
3208,Loaded Weapon 1 (National Lampoon's Loaded Weapon 1),7
3210,Fast Times at Ridgemont High,11
3211,"Cry in the Dark, A",1
3213,Batman: Mask of the Phantasm,50
3214,American Flyers,1
3217,"Star Is Born, A",1
3219,Pacific Heights,201
3221,"Draughtsman's Contract, The",1
3223,"Zed & Two Noughts, A",1
3224,Woman in the Dunes (Suna no onna),1
3225,Down to You,4
3230,"Odessa File, The",43
3235,Where the Buffalo Roam,2
3238,Eye of the Beholder,43
3240,"Big Tease, The",2
3241,"Cup, The (Phörpa)",2
3243,Encino Man,2
3244,"Goodbye Girl, The",4
3246,Malcolm X,1
3247,Sister Act,25
3248,Sister Act 2: Back in the Habit,2
3249,"Hand That Rocks the Cradle, The",19
3250,Alive,1
3251,Agnes of God,177
3252,Scent of a Woman,1
3253,Wayne's World,2
3254,Wayne's World 2,2
3255,"League of Their Own, A",10
3256,Patriot Games,36
3257,"Bodyguard, The",64
3258,Death Becomes Her,102
3259,Far and Away,97
3260,Howards End,1
3261,Singles,11
3262,Twin Peaks: Fire Walk with Me,219
3263,White Men Can't Jump,10
3264,Buffy the Vampire Slayer,176
3265,Hard-Boiled (Lat sau san taam),36
3266,Man Bites Dog (C'est arrivé près de chez vous),103
3267,"Mariachi, El",20
3268,Stop! Or My Mom Will Shoot,7
3269,Forever Young,74
3270,"Cutting Edge, The",11
3271,Of Mice and Men,1
3272,Bad Lieutenant,14
3273,Scream 3,69
3274,Single White Female,19
3275,"Boondock Saints, The",36
3276,Gun Shy,2
3280,"Baby, The",12
3281,"Brandon Teena Story, The",22
3283,Minnie and Moskowitz,37
3284,They Might Be Giants,4
3285,"Beach, The",84
3286,Snow Day,2
3287,"Tigger Movie, The",50
3289,Not One Less (Yi ge dou bu neng shao),1
3294,Eaten Alive,12
3295,Raining Stones,1
3296,To Sir with Love,1
3298,Boiler Room,23
3299,Hanging Up,10
3300,Pitch Black,35
3301,"Whole Nine Yards, The",25
3302,Beautiful People,2
3303,Black Tar Heroin: The Dark End of the Street,22
3306,"Circus, The",2
3307,City Lights,11
3308,"Flamingo Kid, The",10
3310,"Kid, The",10
3313,Class Reunion,2
3315,Happy Go Lovely,77
3316,Reindeer Games,46
3317,Wonder Boys,10
3323,Chain of Fools,25
3324,Drowning Mona,2
3325,"Next Best Thing, The",10
3326,What Planet Are You From?,53
3327,Beyond the Mat,22
3328,Ghost Dog: The Way of the Samurai,14
3329,The Year My Voice Broke,9
3330,Splendor in the Grass,9
3331,My Tutor,1
3334,Key Largo,23
3338,For All Mankind,22
3341,Born Yesterday,2
3342,Birdy,148
3344,Blood Feast,12
3345,"Charlie, the Lonesome Cougar",75
3347,Never Cry Wolf,84
3350,"Raisin in the Sun, A",1
3353,"Closer You Get, The",4
3354,Mission to Mars,48
3355,"Ninth Gate, The",207
3357,East-West (Est-ouest),9
3358,Defending Your Life,123
3359,Breaking Away,10
3360,Hoosiers (a.k.a. Best Shot),9
3361,Bull Durham,11
3362,Dog Day Afternoon,14
3363,American Graffiti,10
3364,"Asphalt Jungle, The",31
3365,"Searchers, The",1
3368,"Big Country, The",107
3370,Betrayed,19
3372,"Bridge at Remagen, The",37
3374,Daughters of the Dust,1
3378,"Ogre, The (Unhold, Der)",1
3379,On the Beach,1
3384,"Taking of Pelham One Two Three, The",57
3385,Volunteers,2
3386,JFK,196
3387,Who's Harry Crumb?,2
3388,Harry and the Hendersons,49
3389,Let's Get Harry,70
3390,Shanghai Surprise,105
3391,Who's That Girl?,2
3392,She-Devil,2
3393,Date with an Angel,162
3394,Blind Date,4
3395,Nadine,2
3396,"Muppet Movie, The",121
3397,"Great Muppet Caper, The",49
3398,"Muppets Take Manhattan, The",49
3400,We're Back! A Dinosaur's Story,128
3401,Baby... Secret of the Lost Legend,52
3402,Turtle Diary,11
3403,Raise the Titanic,19
3404,Titanic,13
3405,"Night to Remember, A",13
3406,Captain Horatio Hornblower R.N.,42
3408,Erin Brockovich,1
3409,Final Destination,19
3410,Soft Fruit,10
3412,"Bear, The (Ours, L')",211
3414,Love Is a Many-Splendored Thing,9
3415,"Mirror, The (Zerkalo)",1
3417,"Crimson Pirate, The",85
3418,Thelma & Louise,151
3420,...And Justice for All,19
3421,Animal House,2
3422,She's Gotta Have It,4
3423,School Daze,1
3424,Do the Right Thing,1
3425,Mo' Better Blues,299
3426,Jungle Fever,9
3428,"Champ, The",1
3429,Creature Comforts,49
3430,Death Wish,32
3431,Death Wish 2,13
3432,Death Wish 3,13
3433,Death Wish 4: The Crackdown,13
3434,Death Wish 5: The Face of Death,13
3435,Double Indemnity,14
3436,Dying Young,9
3438,Teenage Mutant Ninja Turtles,249
3439,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,138
3440,Teenage Mutant Ninja Turtles III,45
3441,Red Dawn,222
3442,Band of the Hand,32
3444,Bloodsport,37
3445,Eyes of Laura Mars,201
3446,Funny Bones,10
3447,"Good Earth, The",1
3448,"Good Morning, Vietnam",10
3449,"Good Mother, The",1
3450,Grumpy Old Men,2
3451,Guess Who's Coming to Dinner,1
3452,Romeo Must Die,186
3453,Here on Earth,9
3454,Whatever It Takes,4
3455,Buddy Boy,19
3456,"Color of Paradise, The (Rang-e khoda)",1
3459,Gothic,59
3461,Lord of the Flies,110
3462,Modern Times,11
3466,Heart and Souls,102
3467,Hud,1
3468,"Hustler, The",1
3469,Inherit the Wind,1
3470,Dersu Uzala,84
3471,Close Encounters of the Third Kind,87
3473,Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000),2
3474,Retroactive,21
3475,"Place in the Sun, A",9
3476,Jacob's Ladder,12
3477,Empire Records,10
3478,"Bamba, La",1
3479,Ladyhawke,129
3480,Lucas,9
3481,High Fidelity,11
3483,"Road to El Dorado, The",50
3484,"Skulls, The",43
3489,Hook,26
3492,"Son of the Sheik, The",92
3494,True Grit,84
3496,Madame Sousatzka,1
3497,Max Dugan Returns,2
3498,Midnight Express,1
3499,Misery,277
3500,Mr. Saturday Night,10
3501,Murphy's Romance,4
3502,My Life,1
3503,Solaris (Solyaris),30
3504,Network,10
3505,No Way Out,196
3506,North Dallas Forty,10
3507,"Odd Couple, The",2
3508,"Outlaw Josey Wales, The",99
3510,Frequency,19
3511,Ready to Rumble,2
3512,Return to Me,9
3513,Rules of Engagement,19
3514,Joe Gould's Secret,1
3515,Me Myself I,4
3516,"Bell, Book and Candle",162
3519,Force 10 from Navarone,222
3521,Mystery Train,10
3524,Arthur,4
3525,Bachelor Party,2
3526,Parenthood,10
3527,Predator,29
3528,"Prince of Tides, The",9
3529,"Postman Always Rings Twice, The",6
3531,All the Vermeers in New York,11
3534,28 Days,1
3535,American Psycho,79
3536,Keeping the Faith,11
3537,Where the Money Is,10
3538,East is East,2
3539,"Filth and the Fury, The",22
3543,Diner,10
3544,Shakes the Clown,2
3545,Cabaret,299
3546,What Ever Happened to Baby Jane?,277
3548,Auntie Mame,10
3549,Guys and Dolls,4
3550,The Hunger,12
3551,Marathon Man,23
3552,Caddyshack,2
3553,Gossip,19
3554,Love and Basketball,9
3555,U-571,46
3556,"Virgin Suicides, The",9
3557,Jennifer 8,201
3559,Limelight,11
3563,"Crow: Salvation, The",88
3564,"Flintstones in Viva Rock Vegas, The",49
3565,Where the Heart Is,10
3566,"Big Kahuna, The",10
3567,Bossa Nova,11
3568,Smiling Fish and Goat on Fire,4
3569,"Idiots, The (Idioterne)",10
3571,Time Code,10
3572,Carnosaur,24
3573,Carnosaur 2,24
3574,Carnosaur 3: Primal Species,24
3576,"Hidden, The",62
3577,Two Moon Junction,9
3578,Gladiator,42
3580,Up at the Villa,1
3581,Human Traffic,2
3584,Breathless,184
3586,The Idolmaker,9
3587,Inferno,12
3590,"Lords of Flatbush, The",10
3591,Mr. Mom,10
3592,"Time Masters (Maîtres du temps, Les)",180
3593,Battlefield Earth,34
3594,Center Stage,299
3596,Screwed,2
3597,Whipped,2
3598,Hamlet,61
3599,Anchors Aweigh,2
3604,Gypsy,77
3606,On the Town,4
3608,Pee-wee's Big Adventure,85
3609,Regret to Inform,22
3614,Honeymoon in Vegas,4
3615,Dinosaur,164
3616,Loser,4
3617,Road Trip,2
3618,Small Time Crooks,25
3619,"Hollywood Knights, The",2
3622,"Twelve Chairs, The",2
3623,Mission: Impossible II,38
3624,Shanghai Noon,41
3625,Better Living Through Circuitry,22
3626,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women),2
3627,Carnival of Souls,16
3628,Flying Tigers,109
3629,"Gold Rush, The",92
3632,Monsieur Verdoux,25
3633,On Her Majesty's Secret Service,215
3634,Seven Days in May,43
3635,"Spy Who Loved Me, The",38
3637,Vagabond (Sans toit ni loi),1
3638,Moonraker,33
3639,"Man with the Golden Gun, The",38
3640,"King in New York, A",10
3641,"Woman of Paris, A",1
3643,"Fighting Seabees, The",222
3646,Big Momma's House,2
3648,"Abominable Snowman, The (Abominable Snowman of the Himalayas, The)",24
3649,American Gigolo,1
3652,"City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi)",12
3653,"Endless Summer, The",22
3654,"Guns of Navarone, The",42
3655,Blow-Out (La grande bouffe),1
3658,Quatermass and the Pit,24
3660,Puppet Master,35
3661,Puppet Master II,35
3662,Puppet Master III: Toulon's Revenge,35
3663,Puppet Master 4,35
3664,Puppet Master 5: The Final Chapter,35
3667,Rent-A-Cop,44
3668,Romeo and Juliet,9
3669,Stay Tuned,2
3671,Blazing Saddles,2
3672,Benji,75
3673,Benji the Hunted,75
3674,For the Love of Benji,101
3675,White Christmas,4
3676,Eraserhead,59
3677,Baraka,22
3678,"Man with the Golden Arm, The",1
3679,"Decline of Western Civilization, The",22
3680,"Decline of Western Civilization Part II: The Metal Years, The",22
3681,For a Few Dollars More (Per qualche dollaro in più),40
3682,Magnum Force,36
3683,Blood Simple,14
3684,"Fabulous Baker Boys, The",9
3685,Prizzi's Honor,11
3686,Flatliners,35
3687,Light Years (Gandahar),165
3688,Porky's,2
3689,Porky's II: The Next Day,2
3690,Porky's Revenge,2
3691,Private School,2
3692,Class of Nuke 'Em High,58
3693,"Toxic Avenger, The",58
3694,"Toxic Avenger, Part II, The",58
3695,"Toxic Avenger Part III: The Last Temptation of Toxie, The",58
3696,Night of the Creeps,76
3697,Predator 2,29
3698,"Running Man, The",34
3699,Starman,259
3700,"Brother from Another Planet, The",30
3701,Alien Nation,239
3702,Mad Max,5
3703,"Road Warrior, The (Mad Max 2)",33
3704,Mad Max Beyond Thunderdome,5
3705,Bird on a Wire,83
3706,Angel Heart,156
3707,9 1/2 Weeks (Nine 1/2 Weeks),9
3708,Firestarter,16
3709,Sleepwalkers,12
3710,Action Jackson,72
3711,Sarafina!,1
3712,Soapdish,2
3713,"Long Walk Home, The",1
3714,Clara's Heart,1
3715,Burglar,25
3716,Fatal Beauty,93
